source_id,date,frp,normal_frp,ratio,industry_name,region
singrauli_24.1905_82.5788,2025-05-30,61.19,0.96,63.74,Block - B coal mine,singrauli
punjab_30.9394_75.3117,2025-04-25,213.23,6.83,31.22,Grandfather Food Processing,punjab
korba_21.9035_82.5092,2025-12-25,110.54,4.65,23.77,,korba
korba_22.0717_83.3490,2025-03-14,12.45,0.55,22.64,,korba
singrauli_24.1699_82.7405,2025-04-06,16.44,0.78,21.08,Bina Mine,singrauli
korba_22.1845_82.6161,2025-04-25,79.01,4.56,17.31,Lanco Amarkantak,korba
korba_21.6708_82.5032,2025-03-01,107.71,6.38,16.88,,korba
jamnagar_22.3306_69.7450,2025-04-21,26.2,1.64,15.98,Vadinar Refinery,jamnagar
korba_22.0356_83.3564,2025-03-27,26.15,1.68,15.57,,korba
korba_21.9713_83.2005,2025-12-11,8.89,0.59,15.07,RAIGARH TPP,korba
korba_22.0084_83.3286,2025-02-08,8.47,0.57,14.86,,korba
singrauli_24.1905_82.5788,2025-05-19,14.21,0.96,14.8,Block - B coal mine,singrauli
korba_21.6377_82.6904,2025-01-09,93.89,6.37,14.74,,korba
punjab_30.2607_75.9083,2025-11-01,80.27,5.94,13.51,,punjab
korba_21.7782_82.5451,2025-12-28,62.05,5.01,12.39,,korba
korba_21.6253_83.0235,2025-02-09,55.48,4.48,12.38,,korba
korba_21.9277_83.0209,2025-12-27,63.3,5.14,12.3,Uchpinda Power Station,korba
korba_21.9216_83.0821,2025-01-27,38.43,3.18,12.1,Athena Chhattisgarh power station,korba
punjab_30.4346_76.3017,2025-05-15,41.36,3.45,11.99,,punjab
korba_21.8881_82.4080,2025-12-28,58.18,4.88,11.93,AKALTARA TPP,korba
korba_21.9035_82.5092,2025-06-05,54.87,4.65,11.8,,korba
jamnagar_22.3306_69.7450,2025-04-19,19.1,1.64,11.65,Vadinar Refinery,jamnagar
singrauli_24.1390_82.7038,2025-12-08,11.72,1.08,10.8,Khadia Mine,singrauli
singrauli_24.1590_82.6717,2025-05-19,13.5,1.26,10.71,Dudhichua Mine,singrauli
