num,gold_label,notes,source_id,photo,region,rules_ne_kaha,kitni_baar,kitne_din_tak,raat_ka_pct,factory_se_km,zameen,paas_ki_industry,google_maps
1,,,jamnagar_n335,data/chips/jamnagar_n335.jpg,jamnagar,AGRI_BURN,1,0,0,24.82,unknown,—,"https://www.google.com/maps/@21.90569,69.57185,1000m/data=!3m1!1e3"
2,,,jamnagar_n277,data/chips/jamnagar_n277.jpg,jamnagar,AGRI_BURN,1,0,0,19.55,unknown,—,"https://www.google.com/maps/@21.80788,70.55065,1000m/data=!3m1!1e3"
3,,,jamnagar_n226,data/chips/jamnagar_n226.jpg,jamnagar,AGRI_BURN,1,0,0,9.2,unknown,—,"https://www.google.com/maps/@22.44277,70.22961,1000m/data=!3m1!1e3"
4,,,jamnagar_n350,data/chips/jamnagar_n350.jpg,jamnagar,AGRI_BURN,1,0,0,16.07,unknown,—,"https://www.google.com/maps/@21.91997,69.4236,1000m/data=!3m1!1e3"
5,,,jamnagar_c7,data/chips/jamnagar_c7.jpg,jamnagar,INDUSTRIAL,9,307,100,0.5,unknown,—,"https://www.google.com/maps/@22.574437,70.228944,1000m/data=!3m1!1e3"
6,,,jamnagar_c1,data/chips/jamnagar_c1.jpg,jamnagar,INDUSTRIAL,63,361,100,0.0,unknown,Reliance Refinery,"https://www.google.com/maps/@22.336002,69.867769,1000m/data=!3m1!1e3"
7,,,jamnagar_c3,data/chips/jamnagar_c3.jpg,jamnagar,INDUSTRIAL,31,360,100,0.0,unknown,Vadinar Refinery,"https://www.google.com/maps/@22.330195,69.749564,1000m/data=!3m1!1e3"
8,,,jamnagar_c0,data/chips/jamnagar_c0.jpg,jamnagar,INDUSTRIAL,16,337,100,0.0,unknown,Reliance Refinery,"https://www.google.com/maps/@22.321638,69.881919,1000m/data=!3m1!1e3"
9,,,jamnagar_n32,data/chips/jamnagar_n32.jpg,jamnagar,UNSURE,1,0,100,0.06,unknown,—,"https://www.google.com/maps/@22.84754,69.69582,1000m/data=!3m1!1e3"
10,,,jamnagar_n22,data/chips/jamnagar_n22.jpg,jamnagar,UNSURE,1,0,0,7.96,unknown,—,"https://www.google.com/maps/@22.11862,70.36513,1000m/data=!3m1!1e3"
11,,,jamnagar_n37,data/chips/jamnagar_n37.jpg,jamnagar,UNSURE,1,0,0,3.21,unknown,—,"https://www.google.com/maps/@22.71792,70.58738,1000m/data=!3m1!1e3"
12,,,jamnagar_c21,data/chips/jamnagar_c21.jpg,jamnagar,UNSURE,4,0,0,2.0,unknown,Essar Refinery,"https://www.google.com/maps/@22.378515,69.689568,1000m/data=!3m1!1e3"
13,,,punjab_c89,data/chips/punjab_c89.jpg,punjab,AGRI_BURN,4,0,0,3.07,unknown,Deva Industries,"https://www.google.com/maps/@30.28241,76.03749,1000m/data=!3m1!1e3"
14,,,punjab_n409,data/chips/punjab_n409.jpg,punjab,AGRI_BURN,1,0,0,5.97,unknown,—,"https://www.google.com/maps/@30.81878,75.45073,1000m/data=!3m1!1e3"
15,,,punjab_n2982,data/chips/punjab_n2982.jpg,punjab,AGRI_BURN,1,0,0,8.22,unknown,—,"https://www.google.com/maps/@30.41755,75.27032,1000m/data=!3m1!1e3"
16,,,punjab_n625,data/chips/punjab_n625.jpg,punjab,AGRI_BURN,1,0,0,5.91,unknown,—,"https://www.google.com/maps/@30.38266,76.05525,1000m/data=!3m1!1e3"
17,,,punjab_n109,data/chips/punjab_n109.jpg,punjab,FOREST_FIRE,1,0,0,5.3,forest,—,"https://www.google.com/maps/@30.48798,76.18234,1000m/data=!3m1!1e3"
18,,,punjab_n2023,data/chips/punjab_n2023.jpg,punjab,FOREST_FIRE,1,0,0,5.61,forest,—,"https://www.google.com/maps/@30.49751,76.18417,1000m/data=!3m1!1e3"
19,,,punjab_n3069,data/chips/punjab_n3069.jpg,punjab,FOREST_FIRE,1,0,0,9.14,forest,—,"https://www.google.com/maps/@30.97674,75.44985,1000m/data=!3m1!1e3"
20,,,punjab_c2,data/chips/punjab_c2.jpg,punjab,INDUSTRIAL,7,335,100,0.0,unknown,—,"https://www.google.com/maps/@30.850633,75.948331,1000m/data=!3m1!1e3"
21,,,punjab_c272,data/chips/punjab_c272.jpg,punjab,INDUSTRIAL,5,175,0,0.93,unknown,—,"https://www.google.com/maps/@30.663084,76.32965,1000m/data=!3m1!1e3"
22,,,punjab_c96,data/chips/punjab_c96.jpg,punjab,INDUSTRIAL,8,174,0,0.55,unknown,—,"https://www.google.com/maps/@30.252074,75.89819,1000m/data=!3m1!1e3"
23,,,punjab_c347,data/chips/punjab_c347.jpg,punjab,INDUSTRIAL,3,37,0,0.14,unknown,—,"https://www.google.com/maps/@30.424647,75.887233,1000m/data=!3m1!1e3"
24,,,punjab_n1714,data/chips/punjab_n1714.jpg,punjab,UNSURE,1,0,100,2.53,unknown,—,"https://www.google.com/maps/@30.84365,75.75692,1000m/data=!3m1!1e3"
25,,,punjab_n1794,data/chips/punjab_n1794.jpg,punjab,UNSURE,1,0,0,1.11,unknown,—,"https://www.google.com/maps/@30.5672,76.23135,1000m/data=!3m1!1e3"
26,,,punjab_n2670,data/chips/punjab_n2670.jpg,punjab,UNSURE,1,0,0,2.28,unknown,—,"https://www.google.com/maps/@30.83435,75.55947,1000m/data=!3m1!1e3"
27,,,punjab_n0,data/chips/punjab_n0.jpg,punjab,UNSURE,1,0,0,4.93,unknown,—,"https://www.google.com/maps/@30.47235,75.95839,1000m/data=!3m1!1e3"
28,,,uttarakhand_c79,data/chips/uttarakhand_c79.jpg,uttarakhand,AGRI_BURN,3,0,0,20.65,unknown,—,"https://www.google.com/maps/@29.68642,79.273677,1000m/data=!3m1!1e3"
29,,,uttarakhand_n952,data/chips/uttarakhand_n952.jpg,uttarakhand,AGRI_BURN,1,0,0,6.3,unknown,—,"https://www.google.com/maps/@29.26014,79.11388,1000m/data=!3m1!1e3"
30,,,uttarakhand_n608,data/chips/uttarakhand_n608.jpg,uttarakhand,AGRI_BURN,1,0,0,52.42,unknown,—,"https://www.google.com/maps/@29.71873,78.86456,1000m/data=!3m1!1e3"
31,,,uttarakhand_n785,data/chips/uttarakhand_n785.jpg,uttarakhand,AGRI_BURN,1,0,0,47.67,unknown,—,"https://www.google.com/maps/@29.67443,78.92078,1000m/data=!3m1!1e3"
32,,,uttarakhand_n593,data/chips/uttarakhand_n593.jpg,uttarakhand,FOREST_FIRE,1,0,100,17.37,forest,—,"https://www.google.com/maps/@29.46781,79.23429,1000m/data=!3m1!1e3"
33,,,uttarakhand_n1249,data/chips/uttarakhand_n1249.jpg,uttarakhand,FOREST_FIRE,1,0,0,11.3,forest,—,"https://www.google.com/maps/@29.68447,79.67215,1000m/data=!3m1!1e3"
34,,,uttarakhand_c59,data/chips/uttarakhand_c59.jpg,uttarakhand,FOREST_FIRE,5,2,80,11.01,forest,—,"https://www.google.com/maps/@29.483538,79.314416,1000m/data=!3m1!1e3"
35,,,uttarakhand_n1239,data/chips/uttarakhand_n1239.jpg,uttarakhand,FOREST_FIRE,1,0,100,43.62,forest,—,"https://www.google.com/maps/@29.91141,78.93929,1000m/data=!3m1!1e3"
36,,,uttarakhand_c40,data/chips/uttarakhand_c40.jpg,uttarakhand,INDUSTRIAL,3,64,0,0.01,unknown,—,"https://www.google.com/maps/@29.20313,79.094703,1000m/data=!3m1!1e3"
37,,,uttarakhand_n88,data/chips/uttarakhand_n88.jpg,uttarakhand,UNSURE,1,0,0,24.35,unknown,—,"https://www.google.com/maps/@30.0438,80.16947,1000m/data=!3m1!1e3"
38,,,uttarakhand_n140,data/chips/uttarakhand_n140.jpg,uttarakhand,UNSURE,1,0,0,15.0,unknown,—,"https://www.google.com/maps/@30.1478,79.69748,1000m/data=!3m1!1e3"
39,,,uttarakhand_n145,data/chips/uttarakhand_n145.jpg,uttarakhand,UNSURE,1,0,0,7.92,unknown,—,"https://www.google.com/maps/@30.23456,79.4363,1000m/data=!3m1!1e3"
40,,,uttarakhand_c36,data/chips/uttarakhand_c36.jpg,uttarakhand,UNSURE,4,68,25,4.55,unknown,—,"https://www.google.com/maps/@29.547758,79.455597,1000m/data=!3m1!1e3"
41,,,punjab_n576,data/chips/punjab_n576.jpg,punjab,AGRI_BURN,1,0,0,12.04,unknown,Grandfather Food Processing,"https://www.google.com/maps/@30.92211,75.28175,1000m/data=!3m1!1e3"
42,,,punjab_c417,data/chips/punjab_c417.jpg,punjab,UNSURE,3,1,33,3.33,unknown,—,"https://www.google.com/maps/@30.209153,75.75826,1000m/data=!3m1!1e3"
43,,,punjab_n1644,data/chips/punjab_n1644.jpg,punjab,AGRI_BURN,1,0,0,6.17,unknown,—,"https://www.google.com/maps/@30.78623,75.77584,1000m/data=!3m1!1e3"
44,,,uttarakhand_n78,data/chips/uttarakhand_n78.jpg,uttarakhand,UNSURE,1,0,100,21.54,unknown,—,"https://www.google.com/maps/@30.17117,79.76306,1000m/data=!3m1!1e3"
45,,,uttarakhand_n1246,data/chips/uttarakhand_n1246.jpg,uttarakhand,UNSURE,1,0,0,5.12,unknown,—,"https://www.google.com/maps/@29.23896,79.12976,1000m/data=!3m1!1e3"
46,,,punjab_n1550,data/chips/punjab_n1550.jpg,punjab,UNSURE,1,0,0,2.25,unknown,—,"https://www.google.com/maps/@30.52939,76.26811,1000m/data=!3m1!1e3"
47,,,punjab_n1146,data/chips/punjab_n1146.jpg,punjab,AGRI_BURN,1,0,0,14.8,unknown,Grandfather Food Processing,"https://www.google.com/maps/@30.92617,75.3417,1000m/data=!3m1!1e3"
48,,,uttarakhand_c86,data/chips/uttarakhand_c86.jpg,uttarakhand,FOREST_FIRE,7,3,86,20.88,forest,Government Mini Industrial Estate Bhimtal,"https://www.google.com/maps/@29.438763,79.745107,1000m/data=!3m1!1e3"
49,,,jamnagar_n144,data/chips/jamnagar_n144.jpg,jamnagar,UNSURE,1,0,0,1.27,unknown,Reliance Refinery,"https://www.google.com/maps/@22.30451,69.8924,1000m/data=!3m1!1e3"
50,,,uttarakhand_n248,data/chips/uttarakhand_n248.jpg,uttarakhand,FOREST_FIRE,1,0,0,19.81,forest,Government Mini Industrial Estate Bhimtal,"https://www.google.com/maps/@29.51316,79.64722,1000m/data=!3m1!1e3"
